danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,primary_genre
0.506,0.762,7,-8.073,1,0.268,0.0,0.345,0.811,170.013,169227,Rap
0.748,0.598,11,-3.733,1,0.0898,0.000296,0.0983,0.553,170.077,197647,Rap
0.881,0.817,9,-4.578,1,0.178,0.0,0.158,0.441,110.011,157091,Rap
0.549,0.696,10,-8.134,0,0.199,0.0,0.104,0.478,84.959,173647,R&B
0.85,0.593,1,-4.389,1,0.0686,0.0,0.131,0.448,146.001,201301,Rap
0.796,0.879,3,-6.63,0,0.0821,0.0,0.139,0.859,135.02,182573,Rap
0.838,0.379,0,-8.157,1,0.0416,0.00389,0.103,0.0365,104.044,227885,Rap
0.782,0.556,8,-8.112,1,0.0816,0.0,0.174,0.768,82.992,283373,Rap
0.925,0.513,10,-5.315,0,0.251,0.0,0.0663,0.758,135.957,157059,Rap
0.794,0.845,2,-7.46,1,0.197,0.0,0.0927,0.829,88.066,223744,Rap
0.715,0.755,4,-4.73,0,0.0922,0.00866,0.0736,0.652,86.479,206705,Rap
0.831,0.696,6,-7.779,1,0.0677,7.77e-06,0.219,0.966,150.027,209827,Rap
0.743,0.667,7,-9.056,1,0.338,0.00277,0.171,0.498,186.185,129242,Rap
0.885,0.448,3,-6.963,0,0.346,3.06e-06,0.152,0.397,124.052,190000,Rap
0.747,0.597,7,-8.051,1,0.254,0.0,0.129,0.823,84.997,229533,Rap
0.738,0.547,6,-8.597,0,0.371,0.0,0.251,0.571,88.877,149531,Rap
0.803,0.877,2,-5.525,1,0.118,0.0,0.0579,0.93,159.962,183750,Rap
0.705,0.585,4,-5.312,0,0.12,0.00061,0.0536,0.258,89.966,196752,Rap
0.778,0.618,11,-8.368,0,0.32,0.0,0.164,0.351,129.94,185000,Rap
0.855,0.645,5,-6.321,0,0.0545,0.0,0.226,0.654,129.999,199385,Rap
0.814,0.531,9,-7.113,1,0.117,0.0,0.0784,0.576,98.037,211755,Rap
0.742,0.523,1,-5.162,1,0.108,0.0,0.0905,0.283,155.547,185925,Rap
0.868,0.468,10,-8.047,1,0.0875,0.0,0.11,0.211,98.025,156888,Rap
0.916,0.572,8,-5.566,0,0.105,4.88e-06,0.104,0.589,99.998,172800,Rap
0.957,0.825,1,-5.708,1,0.187,0.0,0.102,0.931,132.067,150286,Rap
0.937,0.416,7,-10.416,0,0.418,0.0,0.0437,0.786,100.039,106027,Rap
0.704,0.696,1,-3.927,0,0.269,0.0,0.257,0.573,194.099,157848,Rap
0.539,0.548,4,-6.157,0,0.0409,0.0,0.0798,0.385,172.012,139814,Rap
0.851,0.637,5,-5.459,1,0.199,0.0,0.0902,0.386,92.522,169045,Rap
0.864,0.535,6,-5.684,0,0.302,0.0,0.0527,0.825,128.02,157563,Rap
0.857,0.857,2,-3.712,1,0.174,0.0,0.314,0.861,97.231,160400,Rap
0.79,0.545,6,-10.157,0,0.125,0.0,0.0837,0.516,80.024,168000,Rap
0.913,0.356,10,-8.11,0,0.145,0.000252,0.079,0.492,90.033,141401,Rap
0.759,0.627,7,-8.938,1,0.0461,0.0,0.406,0.317,140.009,158786,Rap
0.79,0.779,1,-2.642,1,0.0416,0.000155,0.159,0.228,150.115,171733,Rap
0.797,0.767,1,-5.625,1,0.316,0.0,0.0713,0.537,133.864,207761,Rap
0.698,0.741,1,-4.962,1,0.0841,0.0,0.326,0.426,156.096,175385,Rap
0.9,0.649,5,-3.79,1,0.269,0.0,0.0825,0.442,129.985,208048,Rap
0.754,0.675,8,-4.58,1,0.207,0.0,0.0346,0.526,145.815,256804,Rap
0.862,0.618,2,-4.209,1,0.312,0.0,0.108,0.234,160.001,173684,Rap
0.709,0.799,1,-5.304,1,0.163,0.0,0.119,0.567,178.007,156933,Rap
0.602,0.901,2,-2.555,0,0.105,0.0,0.296,0.756,148.073,172356,Rap
0.836,0.66,8,-5.754,1,0.111,0.0,0.0975,0.752,95.041,192001,Rap
0.841,0.755,10,-4.044,0,0.136,2.01e-06,0.0741,0.644,127.024,218070,Rap
0.825,0.67,1,-7.765,1,0.0702,0.0,0.139,0.646,124.025,160645,Rap
0.823,0.752,0,-5.876,1,0.275,0.0,0.119,0.384,130.036,280514,Rap
0.797,0.785,1,-4.146,1,0.281,0.0,0.257,0.736,135.064,175099,Rap
0.812,0.795,7,-6.741,1,0.21,0.0,0.328,0.616,119.944,244773,Rap
0.653,0.694,1,-6.284,1,0.039,0.0,0.111,0.226,96.024,216164,R&B
0.727,0.736,8,-6.566,1,0.0319,0.0,0.119,0.717,139.929,209999,Pop
0.535,0.586,7,-8.256,1,0.107,0.0,0.0745,0.823,124.853,163933,Rock
0.801,0.783,7,-7.08,1,0.241,0.0,0.285,0.613,109.955,168627,Pop
0.59,0.689,6,-6.634,0,0.0338,1.79e-05,0.0627,0.667,93.004,172429,Rock
0.686,0.867,6,-4.396,0,0.0449,4.18e-05,0.396,0.691,126.068,145792,Pop
0.546,0.588,7,-7.449,1,0.036,9.24e-06,0.266,0.214,114.998,191826,Rock
0.72,0.552,1,-9.346,1,0.158,0.00183,0.111,0.622,90.045,139853,Pop
0.789,0.452,1,-6.149,1,0.114,0.0,0.0868,0.675,159.835,145720,Pop
0.588,0.494,11,-7.129,0,0.0309,0.000114,0.156,0.539,78.99,195020,Rock
0.653,0.563,5,-8.153,1,0.0604,0.0,0.119,0.452,162.015,159080,Pop
0.733,0.671,7,-5.325,0,0.0399,1.09e-05,0.0848,0.439,95.007,140833,Rock
0.773,0.654,0,-6.333,0,0.0583,0.0,0.11,0.476,146.074,136347,Pop
0.581,0.495,2,-6.939,1,0.0336,0.000796,0.126,0.391,140.175,159928,Rock
0.655,0.627,2,-6.687,1,0.0471,3.36e-05,0.153,0.782,167.94,156640,Pop
0.834,0.588,0,-6.243,1,0.0759,4.25e-06,0.112,0.489,141.944,179834,Pop
0.822,0.684,4,-2.507,0,0.253,0.0,0.0986,0.502,170.157,195036,Rap
0.614,0.843,0,-8.367,1,0.0521,0.00146,0.207,0.767,159.999,192280,Pop
0.729,0.718,3,-2.313,0,0.0622,0.0,0.24,0.412,123.892,158710,Rap
0.792,0.559,0,-9.124,0,0.173,8.35e-05,0.188,0.434,84.016,138627,Pop
0.676,0.693,10,-7.282,1,0.0518,0.0,0.127,0.397,148.022,188760,Pop
0.905,0.684,4,-5.18,0,0.0703,0.0,0.0554,0.542,120.025,192729,Pop
0.81,0.817,5,-2.674,1,0.069,0.0,0.297,0.698,110.024,132781,Rap
0.472,0.518,8,-7.379,1,0.051,0.127,0.289,0.154,147.805,211667,R&B
0.44,0.317,8,-9.258,1,0.0531,4.78e-06,0.141,0.268,169.914,233456,R&B
0.515,0.479,3,-7.458,1,0.0261,0.00598,0.191,0.284,88.964,209274,Pop
0.552,0.638,1,-7.474,1,0.11,0.00014,0.374,0.332,167.834,180019,R&B
0.794,0.668,2,-7.689,1,0.0646,0.00104,0.0899,0.632,148.016,102480,R&B
0.672,0.588,1,-9.573,1,0.133,0.241,0.0992,0.204,169.033,174358,Rap
0.582,0.199,10,-10.045,1,0.0321,0.00852,0.135,0.0783,66.454,240294,Pop
0.768,0.754,8,-6.713,1,0.141,0.919,0.11,0.0388,85.016,127987,Pop
0.618,0.217,10,-15.372,1,0.0515,0.000163,0.538,0.0872,116.014,202103,R&B
0.528,0.749,7,-7.571,1,0.0479,9.6e-05,0.0949,0.729,163.944,163906,Pop
0.615,0.541,0,-6.307,0,0.0263,0.00268,0.12,0.124,126.049,113067,Pop
0.448,0.72,7,-3.954,1,0.0332,0.000292,0.614,0.361,157.919,195000,Rock
0.458,0.378,2,-11.354,0,0.15,0.0919,0.0966,0.037,168.232,176804,Pop
0.646,0.648,3,-8.602,1,0.0372,0.00316,0.108,0.466,75.004,179423,Pop
0.668,0.547,1,-8.024,1,0.0353,0.0766,0.0931,0.192,83.5,194871,Rap
0.787,0.312,7,-12.401,1,0.0383,0.0224,0.115,0.425,119.899,128888,R&B
0.393,0.305,9,-11.372,1,0.0461,0.00146,0.092,0.15,160.075,213707,Pop
0.48,0.373,10,-9.297,1,0.0278,0.067,0.12,0.0376,114.078,207710,R&B
0.643,0.329,1,-12.598,1,0.0898,0.665,0.0958,0.202,156.959,152375,Pop
0.305,0.715,7,-7.54,1,0.0554,0.0495,0.0906,0.29,82.977,251015,Pop
0.484,0.632,5,-6.917,1,0.0976,0.0243,0.209,0.0736,126.384,214558,Pop
0.33,0.16,7,-11.647,1,0.0332,0.93,0.21,0.122,131.222,120424,R&B
0.681,0.659,9,-6.405,1,0.268,8.17e-06,0.11,0.225,156.004,173294,Rap
0.659,0.839,2,-4.106,1,0.162,0.0,0.389,0.624,119.935,244000,Rap
0.675,0.793,11,-3.863,0,0.124,0.0,0.198,0.585,143.95,178920,Rap
0.536,0.895,11,-4.366,1,0.207,0.0,0.518,0.34,149.778,194821,Rap
0.754,0.675,8,-4.58,1,0.207,0.0,0.0346,0.526,145.815,256804,Rap
0.697,0.864,10,-4.705,1,0.0958,0.0,0.397,0.463,75.016,161532,Rap
0.391,0.909,10,-5.107,1,0.46,0.0,0.201,0.615,79.842,144141,Rap
0.696,0.924,0,-5.747,0,0.195,0.0,0.288,0.766,77.018,172253,Rap
0.767,0.705,0,-9.042,1,0.234,0.0,0.0983,0.493,130.07,213692,Rap
0.839,0.738,1,-6.947,1,0.265,0.000493,0.141,0.532,130.025,121849,Rap
0.529,0.71,10,-5.935,0,0.366,4.53e-05,0.274,0.502,180.276,150508,Rap
0.726,0.726,1,-5.524,1,0.0802,0.0,0.245,0.379,148.039,197307,Rap
0.576,0.914,7,-3.604,1,0.118,0.0,0.352,0.394,120.064,229253,Rap
0.651,0.983,4,-3.744,0,0.347,0.0,0.41,0.336,169.981,113118,Rap
0.768,0.643,6,-5.876,1,0.389,6.8e-05,0.0861,0.655,88.91,210782,Rap
0.612,0.889,1,-7.699,1,0.319,4.72e-06,0.917,0.582,85.127,136412,Rap
0.784,0.788,0,-5.435,1,0.0836,0.000223,0.339,0.222,130.083,147813,Rap
0.743,0.791,7,-5.817,1,0.181,0.0,0.0873,0.344,156.389,195814,Rap
0.571,0.799,2,-5.859,0,0.0439,0.0,0.406,0.445,120.04,213063,Pop
0.543,0.78,1,-6.331,1,0.0313,0.000327,0.136,0.105,99.989,212368,Pop
0.562,0.802,11,-6.313,1,0.0454,0.0162,0.0873,0.377,160.051,182361,Pop
0.709,0.695,11,-4.289,0,0.0371,0.0,0.117,0.423,95.973,202061,Pop
