,word,count,artist,weight
3,ayy,153,Rich Brian,0.02905982905982906
71,like,126,Rich Brian,0.023931623931623933
193,fuck,80,Rich Brian,0.015194681861348529
11,got,78,Rich Brian,0.014814814814814815
44,shit,69,Rich Brian,0.013105413105413105
62,bitch,60,Rich Brian,0.011396011396011397
156,get,58,Rich Brian,0.011016144349477683
166,yuh,53,Rich Brian,0.0100664767331434
105,know,47,Rich Brian,0.00892687559354226
39,never,44,Rich Brian,0.008357075023741691
6,always,40,Rich Brian,0.007597340930674264
248,man,37,Rich Brian,0.007027540360873694
225,go,34,Rich Brian,0.006457739791073124
210,wit,33,Rich Brian,0.0062678062678062675
83,gon,31,Rich Brian,0.005887939221272555
155,bout,31,Rich Brian,0.005887939221272555
70,feel,30,Rich Brian,0.005698005698005698
150,say,30,Rich Brian,0.005698005698005698
450,time,29,Rich Brian,0.005508072174738842
519,see,29,Rich Brian,0.005508072174738842
5,uh,29,Rich Brian,0.005508072174738842
195,still,27,Rich Brian,0.005128205128205128
251,ooh,27,Rich Brian,0.005128205128205128
16,think,26,Rich Brian,0.0049382716049382715
462,cause,25,Rich Brian,0.004748338081671415
323,tryna,23,Rich Brian,0.004368471035137701
355,make,23,Rich Brian,0.004368471035137701
272,need,22,Rich Brian,0.004178537511870846
74,day,21,Rich Brian,0.003988603988603989
85,back,20,Rich Brian,0.003798670465337132
495,people,19,Rich Brian,0.0036087369420702755
689,every,18,Rich Brian,0.003418803418803419
922,give,18,Rich Brian,0.003418803418803419
100,look,18,Rich Brian,0.003418803418803419
98,life,17,Rich Brian,0.003228869895536562
183,fuckin,17,Rich Brian,0.003228869895536562
109,girl,16,Rich Brian,0.0030389363722697054
245,whoa,16,Rich Brian,0.0030389363722697054
50,told,15,Rich Brian,0.002849002849002849
128,yeah,15,Rich Brian,0.002849002849002849
962,oh,15,Rich Brian,0.002849002849002849
53,could,15,Rich Brian,0.002849002849002849
234,let,15,Rich Brian,0.002849002849002849
252,run,14,Rich Brian,0.0026590693257359924
491,love,14,Rich Brian,0.0026590693257359924
598,chills,14,Rich Brian,0.0026590693257359924
303,feelin,14,Rich Brian,0.0026590693257359924
2,brian,14,Rich Brian,0.0026590693257359924
198,wanna,14,Rich Brian,0.0026590693257359924
740,good,13,Rich Brian,0.0024691358024691358
1415,friends,13,Rich Brian,0.0024691358024691358
67,thought,13,Rich Brian,0.0024691358024691358
1,rich,13,Rich Brian,0.0024691358024691358
1023,em,13,Rich Brian,0.0024691358024691358
196,hit,12,Rich Brian,0.002279202279202279
354,one,12,Rich Brian,0.002279202279202279
132,keep,12,Rich Brian,0.002279202279202279
213,nigga,12,Rich Brian,0.002279202279202279
18,much,12,Rich Brian,0.002279202279202279
147,went,12,Rich Brian,0.002279202279202279
182,put,12,Rich Brian,0.002279202279202279
57,tell,12,Rich Brian,0.002279202279202279
113,hate,12,Rich Brian,0.002279202279202279
646,gotta,12,Rich Brian,0.002279202279202279
84,call,12,Rich Brian,0.002279202279202279
205,dick,11,Rich Brian,0.002089268755935423
712,thinkin,11,Rich Brian,0.002089268755935423
283,lookin,10,Rich Brian,0.001899335232668566
518,way,10,Rich Brian,0.001899335232668566
568,take,10,Rich Brian,0.001899335232668566
525,talk,10,Rich Brian,0.001899335232668566
340,leave,10,Rich Brian,0.001899335232668566
141,inside,9,Rich Brian,0.0017094017094017094
73,spent,9,Rich Brian,0.0017094017094017094
469,gettin,9,Rich Brian,0.0017094017094017094
61,little,9,Rich Brian,0.0017094017094017094
924,want,9,Rich Brian,0.0017094017094017094
188,lil,9,Rich Brian,0.0017094017094017094
361,red,9,Rich Brian,0.0017094017094017094
980,damn,8,Rich Brian,0.0015194681861348527
684,skrrr,8,Rich Brian,0.0015194681861348527
90,nobody,8,Rich Brian,0.0015194681861348527
898,til,8,Rich Brian,0.0015194681861348527
158,came,8,Rich Brian,0.0015194681861348527
64,night,8,Rich Brian,0.0015194681861348527
161,xxxtentacion,8,Rich Brian,0.0015194681861348527
96,used,8,Rich Brian,0.0015194681861348527
985,ass,8,Rich Brian,0.0015194681861348527
919,cold,8,Rich Brian,0.0015194681861348527
274,wait,8,Rich Brian,0.0015194681861348527
178,move,8,Rich Brian,0.0015194681861348527
628,said,8,Rich Brian,0.0015194681861348527
669,done,8,Rich Brian,0.0015194681861348527
455,makin,8,Rich Brian,0.0015194681861348527
4,chorus,8,Rich Brian,0.0015194681861348527
268,goin,7,Rich Brian,0.0013295346628679962
544,guess,7,Rich Brian,0.0013295346628679962
261,god,7,Rich Brian,0.0013295346628679962
724,even,7,Rich Brian,0.0013295346628679962
1304,another,7,Rich Brian,0.0013295346628679962
19,brain,7,Rich Brian,0.0013295346628679962
762,stop,7,Rich Brian,0.0013295346628679962
216,mothafuckin,7,Rich Brian,0.0013295346628679962
418,old,7,Rich Brian,0.0013295346628679962
8,hard,7,Rich Brian,0.0013295346628679962
379,without,7,Rich Brian,0.0013295346628679962
584,days,7,Rich Brian,0.0013295346628679962
443,made,7,Rich Brian,0.0013295346628679962
139,walk,7,Rich Brian,0.0013295346628679962
457,right,7,Rich Brian,0.0013295346628679962
619,things,7,Rich Brian,0.0013295346628679962
446,times,7,Rich Brian,0.0013295346628679962
445,many,7,Rich Brian,0.0013295346628679962
828,new,7,Rich Brian,0.0013295346628679962
649,lot,7,Rich Brian,0.0013295346628679962
76,smile,7,Rich Brian,0.0013295346628679962
685,gave,7,Rich Brian,0.0013295346628679962
308,better,7,Rich Brian,0.0013295346628679962
957,round,7,Rich Brian,0.0013295346628679962
454,home,6,Rich Brian,0.0011396011396011395
614,saw,6,Rich Brian,0.0011396011396011395
1295,actin,6,Rich Brian,0.0011396011396011395
461,long,6,Rich Brian,0.0011396011396011395
766,called,6,Rich Brian,0.0011396011396011395
644,around,6,Rich Brian,0.0011396011396011395
229,underwater,6,Rich Brian,0.0011396011396011395
623,second,6,Rich Brian,0.0011396011396011395
260,talkin,6,Rich Brian,0.0011396011396011395
1607,everybody,6,Rich Brian,0.0011396011396011395
538,far,6,Rich Brian,0.0011396011396011395
539,away,6,Rich Brian,0.0011396011396011395
337,body,6,Rich Brian,0.0011396011396011395
413,mei,6,Rich Brian,0.0011396011396011395
237,water,6,Rich Brian,0.0011396011396011395
815,ready,6,Rich Brian,0.0011396011396011395
146,rappers,6,Rich Brian,0.0011396011396011395
378,business,6,Rich Brian,0.0011396011396011395
47,nine,6,Rich Brian,0.0011396011396011395
393,doin,6,Rich Brian,0.0011396011396011395
707,stay,6,Rich Brian,0.0011396011396011395
594,really,6,Rich Brian,0.0011396011396011395
397,start,6,Rich Brian,0.0011396011396011395
1326,green,6,Rich Brian,0.0011396011396011395
605,would,6,Rich Brian,0.0011396011396011395
833,hella,6,Rich Brian,0.0011396011396011395
282,money,6,Rich Brian,0.0011396011396011395
49,date,6,Rich Brian,0.0011396011396011395
899,beat,5,Rich Brian,0.000949667616334283
444,proud,5,Rich Brian,0.000949667616334283
313,heart,5,Rich Brian,0.000949667616334283
948,havin,5,Rich Brian,0.000949667616334283
888,thing,5,Rich Brian,0.000949667616334283
475,kid,5,Rich Brian,0.000949667616334283
1017,kids,5,Rich Brian,0.000949667616334283
264,crib,5,Rich Brian,0.000949667616334283
532,show,5,Rich Brian,0.000949667616334283
971,yo,5,Rich Brian,0.000949667616334283
520,write,5,Rich Brian,0.000949667616334283
431,turned,5,Rich Brian,0.000949667616334283
1025,hold,5,Rich Brian,0.000949667616334283
328,shoot,5,Rich Brian,0.000949667616334283
801,la,5,Rich Brian,0.000949667616334283
852,bad,5,Rich Brian,0.000949667616334283
1060,game,5,Rich Brian,0.000949667616334283
204,catch,5,Rich Brian,0.000949667616334283
148,school,5,Rich Brian,0.000949667616334283
1469,seein,5,Rich Brian,0.000949667616334283
40,stress,5,Rich Brian,0.000949667616334283
41,none,5,Rich Brian,0.000949667616334283
54,pick,5,Rich Brian,0.000949667616334283
66,dayi,5,Rich Brian,0.000949667616334283
82,hopin,5,Rich Brian,0.000949667616334283
154,numbers,5,Rich Brian,0.000949667616334283
723,years,5,Rich Brian,0.000949667616334283
221,kill,5,Rich Brian,0.000949667616334283
662,face,5,Rich Brian,0.000949667616334283
576,live,5,Rich Brian,0.000949667616334283
120,next,5,Rich Brian,0.000949667616334283
175,listen,5,Rich Brian,0.000949667616334283
143,ayyi,5,Rich Brian,0.000949667616334283
36,week,5,Rich Brian,0.000949667616334283
595,felt,5,Rich Brian,0.000949667616334283
25,quiet,5,Rich Brian,0.000949667616334283
35,last,5,Rich Brian,0.000949667616334283
1293,askin,5,Rich Brian,0.000949667616334283
21,burnin,5,Rich Brian,0.000949667616334283
7,workin,5,Rich Brian,0.000949667616334283
1266,ask,5,Rich Brian,0.000949667616334283
424,pockets,4,Rich Brian,0.0007597340930674264
15,genes,4,Rich Brian,0.0007597340930674264
670,seen,4,Rich Brian,0.0007597340930674264
459,care,4,Rich Brian,0.0007597340930674264
405,flyin,4,Rich Brian,0.0007597340930674264
615,sun,4,Rich Brian,0.0007597340930674264
871,social,4,Rich Brian,0.0007597340930674264
624,gonna,4,Rich Brian,0.0007597340930674264
127,itlike,4,Rich Brian,0.0007597340930674264
610,movin,4,Rich Brian,0.0007597340930674264
470,seven,4,Rich Brian,0.0007597340930674264
857,pull,4,Rich Brian,0.0007597340930674264
1508,fight,4,Rich Brian,0.0007597340930674264
1235,light,4,Rich Brian,0.0007597340930674264
677,head,4,Rich Brian,0.0007597340930674264
600,high,4,Rich Brian,0.0007597340930674264
1860,close,4,Rich Brian,0.0007597340930674264
1753,chick,4,Rich Brian,0.0007597340930674264
668,sayin,4,Rich Brian,0.0007597340930674264
104,ayyyou,4,Rich Brian,0.0007597340930674264
914,problem,4,Rich Brian,0.0007597340930674264
33,fantasies,4,Rich Brian,0.0007597340930674264
46,yesterdayat,4,Rich Brian,0.0007597340930674264
29,drink,4,Rich Brian,0.0007597340930674264
56,placedon,4,Rich Brian,0.0007597340930674264
975,top,4,Rich Brian,0.0007597340930674264
27,wildin,4,Rich Brian,0.0007597340930674264
69,bali,4,Rich Brian,0.0007597340930674264
72,holidays,4,Rich Brian,0.0007597340930674264
436,lost,4,Rich Brian,0.0007597340930674264
77,soul,4,Rich Brian,0.0007597340930674264
986,worry,4,Rich Brian,0.0007597340930674264
24,mostly,4,Rich Brian,0.0007597340930674264
371,sip,4,Rich Brian,0.0007597340930674264
22,calories,4,Rich Brian,0.0007597340930674264
93,winning,4,Rich Brian,0.0007597340930674264
1471,mom,4,Rich Brian,0.0007597340930674264
417,meyou,4,Rich Brian,0.0007597340930674264
439,started,4,Rich Brian,0.0007597340930674264
253,chain,4,Rich Brian,0.0007597340930674264
483,everything,4,Rich Brian,0.0007597340930674264
1197,flow,4,Rich Brian,0.0007597340930674264
578,different,4,Rich Brian,0.0007597340930674264
570,type,4,Rich Brian,0.0007597340930674264
725,matter,4,Rich Brian,0.0007597340930674264
289,feeling,4,Rich Brian,0.0007597340930674264
207,bridge,4,Rich Brian,0.0007597340930674264
795,couple,4,Rich Brian,0.0007597340930674264
208,keith,4,Rich Brian,0.0007597340930674264
793,happy,4,Rich Brian,0.0007597340930674264
209,ape,4,Rich Brian,0.0007597340930674264
728,turn,4,Rich Brian,0.0007597340930674264
212,ayyfuck,4,Rich Brian,0.0007597340930674264
529,music,4,Rich Brian,0.0007597340930674264
