,track,album,artist,popularity,featured,release_date,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,lyrics,filtered_lyrics
127,Poems of a Machine,To Kill a Living Book -for Library Of Ruina-,Mili,40,Mili,2021-10-29,7gTxVOyb4dRPrn68KadstF,0.584,0.554,6,-7.164,0,0.031,0.102,0.115,0.245,129.947,274084,4,missing,missing
128,A Turtle's Heart - Key Ingredient ver.,Key Ingredient,Mili,36,Mili,2022-06-03,3eBVgYz7pY6fxhIZ85i4ax,0.66,0.258,11,-13.74,0,0.0311,0.000262,0.0638,0.586,147.903,174552,4,missing,missing
129,"Dandelion Girls, Dandelion Boys",Dandelions & Bento Boxes,Mili,34,Mili,2022-01-14,3sKeUtZ3MDjpWGo17dTzE1,0.473,0.59,11,-11.655,0,0.0503,0.0276,0.134,0.343,166.102,170964,4,missing,missing
130,Static,Static,Mili,37,Mili,2020-02-01,46Jzcegrh5I5nQtT3TDRuK,0.315,0.396,0,-10.784,0,0.0369,0.000134,0.194,0.29,101.64,213111,5,missing,missing
131,Utopiosphere -Platonism-,Miracle Milk,Mili,36,Mili,2016-10-12,17oaQnX7dsafcpho64juVm,0.457,0.298,0,-11.84,1,0.0332,0.0103,0.0929,0.53,176.085,131208,4,missing,missing
132,world.search (you) ;,Hue,Mili,38,Mili,2017-05-24,3e2OvQb3ps7AoYldKCjJhW,0.734,0.689,0,-6.991,1,0.0443,4.15e-05,0.0764,0.935,138.917,292484,4,missing,missing
133,Sloth,Sloth,Mili,35,Mili,2019-09-10,33bTCbRo9JMdFPnhhStFv7,0.765,0.39,10,-9.301,1,0.0549,0.0678,0.112,0.448,115.997,173349,4,missing,missing
134,Mitsubachi,Mitsubachi,Mili,36,Mili,2019-10-04,3lIkIykzGRhDAmg536iXuC,0.719,0.73,5,-8.628,0,0.0489,0.00762,0.0852,0.464,147.911,178127,4,missing,missing
135,With a Billion Worldful of <3,Millennium Mother,Mili,35,DE DE MOUSE,2018-04-25,1iOHtZpeycLcK5AyaSMcwV,0.456,0.678,10,-6.417,0,0.0414,2.05e-05,0.0812,0.323,150.217,205480,4,missing,missing
136,My Creator,My Creator,Mili,34,Mili,2022-02-26,5iYe1VSmOWbEGo6Oyy31ii,0.259,0.485,11,-7.105,1,0.0346,0.00918,0.176,0.227,81.162,192640,3,missing,missing
137,TOKYO NEON - Key Ingredient ver.,Key Ingredient,Mili,32,Mili,2022-06-03,2YYxD0a8Ss4TrKaSnNx7WV,0.491,0.285,11,-12.174,1,0.0387,6.08e-05,0.0937,0.558,92.446,253024,4,missing,missing
138,雨と体液と匂い,雨と体液と匂い,Mili,35,Mili,2020-06-10,1ouz5gvh7XQm0Ryj7OwKZ1,0.689,0.488,3,-8.972,1,0.0296,0.00532,0.103,0.3,127.977,299000,4,missing,missing
139,Though Our Paths May Diverge (Goblin Slayer Episode Seven inserted song),Rightfully (TV Animation Goblin Slayer opening),Mili,34,Mili,2018-12-05,3bQQKyBQW6owZQqowvdSa1,0.109,0.24,1,-12.274,0,0.0355,0.00316,0.0907,0.0521,166.383,198767,4,missing,missing
140,Rubber Human - Key Ingredient ver.,Key Ingredient,Mili,32,Mili,2022-06-03,7BkcYnj2j8xBtGuaVYw7V4,0.846,0.333,11,-14.959,1,0.068,0.0,0.0738,0.494,129.963,147573,4,missing,missing
141,Little Prince (feat. NIKI),Amen,Rich Brian,51,NIKI,2018-02-02,3jKJnHixssQxdCShjpirKQ,0.909,0.414,0,-7.337,1,0.0514,2.49e-05,0.109,0.761,139.963,172445,4,missing,missing
142,No More (feat. NIKI),Five Stars,Higher Brothers,41,NIKI,2019-02-22,7lxcmd6V6iFDgtw9urFsGB,0.75,0.651,10,-6.684,0,0.11,2.15e-06,0.0776,0.61,142.118,229859,4,missing,missing
143,Don't Care,Don't Care,Rich Brian,44,Rich Brian,2020-08-18,5ikdrhBackb0NBru3psf0o,0.642,0.569,1,-9.38,1,0.0476,0.0,0.105,0.194,140.095,164571,4,missing,missing
144,TITANIC (feat. Rich Brian),MIRRORS,Jackson Wang,54,Rich Brian,2019-10-25,6k6pPAqLxleqb3fbMtVjxe,0.894,0.748,11,-8.22,0,0.338,0.0,0.057,0.697,99.983,141147,4,missing,missing
145,Dat $tick,Dat $tick,Rich Brian,64,Rich Brian,2016-03-11,4bdJHQp90ymjEIkkYhcENB,0.923,0.508,1,-8.668,1,0.0468,1.21e-05,0.126,0.168,108.039,126667,4,missing,missing
146,Rapapapa (feat. RZA),The Sailor,Rich Brian,51,RZA,2019-07-26,7sPoDigIbCWDS6AZmOhSRR,0.782,0.752,3,-4.622,0,0.214,0.0,0.114,0.504,126.936,247166,4,missing,missing
147,Yellow (feat. Bekon),The Sailor,Rich Brian,50,Bekon,2019-07-26,3PPAFAhNAvJYs74JnujgGq,0.447,0.53,0,-5.028,1,0.028,4.25e-05,0.351,0.0621,75.917,291870,4,missing,missing
148,Attention (feat. Offset),Amen,Rich Brian,50,Offset,2018-02-02,16wWFYS9S4hKBk2Ofj3Ss6,0.884,0.547,11,-7.492,1,0.387,0.0,0.124,0.425,158.019,170200,4,missing,missing
149,Introvert (feat. Joji),Amen,Rich Brian,62,Joji,2018-02-02,3qbqWUDl9j09PeBaQ6CZgr,0.836,0.686,1,-4.673,1,0.0413,0.00231,0.0681,0.632,110.029,222259,4,missing,missing
150,Where Does The Time Go (feat. Joji),The Sailor,Rich Brian,57,Joji,2019-07-26,0D7EgPJwNzBTSej80OveHZ,0.642,0.553,2,-6.573,1,0.0265,9.79e-06,0.112,0.129,139.925,251289,4,missing,missing
151,watch out!,watch out!,Rich Brian,41,Rich Brian,2018-04-04,4DGmoB9LuGlOY91jFugBYU,0.865,0.686,1,-8.812,1,0.275,0.000112,0.327,0.385,160.019,156000,4,missing,missing
152,Crisis (feat. 21 Savage),Crisis (feat. 21 Savage),Rich Brian,46,21 Savage,2017-11-10,60KSdUUY3dtPOFpvTf0wNm,0.898,0.671,11,-5.939,0,0.228,4.95e-05,0.119,0.668,144.989,216190,4,missing,missing
