,track,album,artist,popularity,featured,release_date,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,lyrics,filtered_lyrics
35,PINK BLEU DAWN (PROD. BY HIPPIE SABOTAGE),CAFE BLEU,Dumbfoundead,34,Dumbfoundead,2018-11-02,3NF7EcaiHCqev5NKF5hxdR,0.356,0.583,10,-8.697,0,0.175,0.000141,0.143,0.0696,81.568,172000,4,missing,missing
36,Cell Phone (feat. Breezy Lovejoy & Wax),Dfd,Dumbfoundead,32,Breezy Lovejoy,2011-11-01,0gE4OoMJhSMhhDMeexjD2b,0.804,0.695,10,-7.197,0,0.106,0.0,0.115,0.619,120.004,267889,4,missing,missing
37,"WEIRD (PROD. BY SWEATER BEATS, DONYE’A G)",CAFE BLEU,Dumbfoundead,30,Dumbfoundead,2018-11-02,7q4N0abbhFfLBXJpyO7EzN,0.719,0.552,0,-9.863,1,0.289,0.0,0.207,0.577,103.0,200000,4,missing,missing
38,"CAFE BLEU THEME (PROD. BY SWEATER BEATS, DONYE’A G)",CAFE BLEU,Dumbfoundead,24,Dumbfoundead,2018-11-02,5qBtLe1VpoCVxHQqpPM9DI,0.566,0.509,0,-9.125,1,0.0878,0.000338,0.114,0.306,141.943,199000,4,missing,missing
39,Ancestors (feat. Donye'a G & YEAR OF THE OX),We Might Die,Dumbfoundead,27,YEAR OF THE OX,2016-11-10,6DUOQjr4QUVYZmqwmE78Uo,0.526,0.605,3,-7.841,1,0.206,0.0,0.102,0.158,129.437,210462,4,missing,missing
40,No More Sunny Days (feat. Breezy Lovejoy),Dfd,Dumbfoundead,22,Breezy Lovejoy,2011-11-01,1g3cTjWHlEl9A5Ec14K8Yv,0.612,0.509,9,-7.972,1,0.131,0.0,0.223,0.738,86.542,123245,4,missing,missing
41,Brb (feat. Andrew Garcia & Andrew Garcia),Dfd,Dumbfoundead,23,Andrew Garcia,2011-11-01,7I9iIwfPHlHk0qg4GXHV7m,0.381,0.8,4,-6.218,0,0.327,0.0,0.538,0.644,76.379,180457,4,missing,missing
42,ALMOST THERE (PROD. BY HIPPIE SABOTAGE),CAFE BLEU,Dumbfoundead,21,YEAR OF THE OX,2018-11-02,3zHZDJf53hHJo4R4BFhXhU,0.537,0.592,11,-10.095,0,0.46,0.0,0.0989,0.362,146.038,243863,4,missing,missing
43,Mijangwon (feat. Loopy & Nafla),Mijangwon (feat. Loopy & Nafla),Dumbfoundead,24,nafla,2017-03-07,38O8H0eDmDIFhiYta77nji,0.855,0.92,7,-1.708,1,0.146,0.0,0.137,0.614,130.029,273231,4,missing,missing
44,"IT G MA Remix (josh pan Opus) [feat. A$AP Ferg, Father, Dumbfoundead & Waka Flocka Flame with Anderson .Paak]","IT G MA Remix (josh pan Opus) [feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame with Anderson .Paak]",Keith Ape,29,Anderson .Paak,2016-02-12,55hUGKgOOB0O5fdoUCLRSZ,0.442,0.822,1,-5.836,1,0.347,3.52e-05,0.117,0.181,101.89,865498,4,missing,missing
45,"Banned In The Motherland (feat. Jay Park, Simon Dominic & G2)",We Might Die,Dumbfoundead,22,Jay Park,2016-11-10,0r4lx4FiQyOWmwOPqJ6Qav,0.798,0.74,1,-7.107,1,0.129,0.0,0.118,0.107,114.063,218494,4,missing,missing
46,24KTWN,Old Boy Jon,Dumbfoundead,20,Dumbfoundead,2013-02-18,5p3LqUnZ44XqIaP4DCfAtY,0.571,0.837,0,-7.328,1,0.323,0.0,0.88,0.64,77.98,184453,4,missing,missing
47,Fearless,Fearless,Guapdad 4000,52,Valentino Khan,2022-01-26,7pDUFFF3J4WEu1aZMW4M4b,0.696,0.978,4,-0.72,0,0.043,0.000474,0.105,0.762,107.971,140000,4,missing,missing
48,Pose (feat. Wiz Khalifa & Curren$y),Pose (feat. Wiz Khalifa & Curren$y),Guapdad 4000,44,Curren$y,2022-06-10,1EaEXPXlb3Xp19Aj3Nw8v1,0.76,0.612,1,-3.963,1,0.235,0.0,0.0375,0.662,187.934,204528,4,missing,missing
49,Uncle Ricky,1176,Guapdad 4000,43,!llmind,2021-03-19,4oVTvW28J81iFfeqKTf50n,0.571,0.733,6,-6.246,0,0.342,7.97e-06,0.34,0.589,82.779,142255,4,missing,missing
50,Lil Scammer That Could (feat. Denzel Curry),Lil Scammer That Could (feat. Denzel Curry),Guapdad 4000,42,Denzel Curry,2020-06-26,2nSKol7UyxwffI6jLYTuUd,0.835,0.645,7,-5.397,1,0.116,4.27e-06,0.0818,0.524,79.992,186000,4,missing,missing
51,Chicken Adobo,1176,Guapdad 4000,37,!llmind,2021-03-19,16ZSaXzmcsIXvHaK2HhT8r,0.887,0.401,5,-8.132,1,0.0646,1.96e-06,0.0728,0.601,128.047,182833,4,missing,missing
52,"Izayah (feat. Key!, Maxo Kream, Denzel Curry & Kenny Beats)",Dior Deposits (Deluxe),Guapdad 4000,41,Maxo Kream,2019-12-20,6136OsDSYIDRB10R2MSgWl,0.912,0.696,8,-4.509,1,0.307,0.0,0.138,0.586,142.028,213559,4,missing,missing
53,Prada Process (feat. 6lack),Dior Deposits (Deluxe),Guapdad 4000,37,6LACK,2019-12-20,1eZJY83Pkp0VqkCiaMLh9E,0.57,0.63,1,-6.765,0,0.458,0.0,0.111,0.501,84.537,198717,4,missing,missing
54,Stuck With It (feat. Tory Lanez),Dior Deposits (Deluxe),Guapdad 4000,39,Tory Lanez,2019-12-20,4B9pOIJp309DPpr2LHHlcz,0.711,0.584,5,-7.648,1,0.0707,0.0,0.178,0.722,97.972,181455,4,missing,missing
55,How Many,How Many,Guapdad 4000,34,!llmind,2021-02-12,1iFMSqqBIpt1O9pEfVKKdf,0.83,0.492,6,-8.611,0,0.0482,7.1e-05,0.257,0.619,102.994,205124,4,missing,missing
56,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),Dior Deposits (Deluxe),Guapdad 4000,34,Charlie Wilson,2019-12-20,6Xd0UxhSnQYCyvGGAMHajB,0.583,0.665,1,-4.676,1,0.342,0.0,0.145,0.927,112.842,203669,5,missing,missing
57,Orgasm Full Of Pain (feat. Deante Hitchcock),Orgasm Full Of Pain (feat. Deante Hitchcock),Guapdad 4000,26,Deante' Hitchcock,2020-07-24,77VQHwQf3PJe1BZuBLzYQt,0.674,0.572,0,-8.844,0,0.403,0.0,0.104,0.667,76.996,216973,4,missing,missing
58,Need Me Now (feat. Guapdad 4000),Five Stars,Higher Brothers,27,Guapdad 4000,2019-02-22,0wdJgrDo4kosgObGnvjp5m,0.713,0.873,5,-4.402,0,0.238,0.0,0.245,0.897,154.977,249653,4,missing,missing
59,No More (feat. NIKI),Five Stars,Higher Brothers,41,NIKI,2019-02-22,7lxcmd6V6iFDgtw9urFsGB,0.75,0.651,10,-6.684,0,0.11,2.15e-06,0.0776,0.61,142.118,229859,4,missing,missing
60,暴风雨,Type-3,Higher Brothers,29,Harikiri,2018-02-27,66pKYRKWQ1ZrQFtmIXziaq,0.759,0.627,7,-8.938,1,0.0461,0.0,0.406,0.317,140.009,158786,4,missing,missing
61,Nomadic (feat. Joji),Nomadic (feat. Joji),Higher Brothers,40,Joji,2017-07-13,4fq9ldVbZ57iYFGrKpDLj0,0.84,0.536,4,-7.652,0,0.158,0.000248,0.73,0.56,75.013,244800,4,missing,missing
62,One Punch Man (feat. Ski Mask The Slump God & Denzel Curry),Five Stars,Higher Brothers,41,Ski Mask The Slump God,2019-02-22,5XHcYoIcFY7GgV6OHUB00Q,0.906,0.726,1,-4.965,1,0.255,0.0,0.127,0.354,132.004,200652,4,missing,missing
63,Friends & Foes (feat. Snoop Dogg),Friends & Foes (feat. Snoop Dogg),Higher Brothers,33,Snoop Dogg,2019-08-05,2C8me0xQykoMa6krseI8Wd,0.925,0.619,1,-3.752,1,0.186,0.0,0.104,0.0854,95.001,186947,4,missing,missing
64,711,Black Cab,Higher Brothers,30,Higher Brothers,2017-05-31,49gWRs13smbgMgIaDvprp2,0.683,0.763,0,-6.73,1,0.255,0.0,0.152,0.663,136.968,247274,4,missing,missing
65,5:30 A.M.,Type-3 - EP,Higher Brothers,23,Harikiri,2018-02-27,7hlKTBzDXetwy5W7ldkh3G,0.824,0.581,2,-10.545,1,0.429,0.0,0.0804,0.463,171.926,157674,4,missing,missing
66,過 (Should've Let Go),過 (Should've Let Go),Jackson Wang,54,JJ Lin,2020-12-17,1lrafepXruMZB5qHCNqy88,0.691,0.481,0,-6.036,1,0.0338,0.0,0.0898,0.149,127.936,203787,4,missing,missing
67,TITANIC (feat. Rich Brian),MIRRORS,Jackson Wang,54,Rich Brian,2019-10-25,6k6pPAqLxleqb3fbMtVjxe,0.894,0.748,11,-8.22,0,0.338,0.0,0.057,0.697,99.983,141147,4,missing,missing
68,爱 - I Love You 3000 Chinese Version,MIRRORS,Jackson Wang,47,Jackson Wang,2019-10-25,74p24yUzO0uiZmt8v0G4Hg,0.494,0.374,6,-10.45,1,0.0534,4.56e-06,0.409,0.221,180.04,210160,4,missing,missing
69,UNLESS I'M WITH YOU,MIRRORS,Jackson Wang,46,Jackson Wang,2019-10-25,1OelkS095FL6l9AOGaky6Y,0.714,0.501,1,-8.548,0,0.183,2.53e-05,0.11,0.422,159.899,147027,4,missing,missing
70,王嘉爾,王嘉爾,Jackson Wang,47,Jackson Wang,2022-01-11,380m8wx1X9cSSSF5If2D9X,0.763,0.648,8,-5.18,1,0.0472,9.43e-05,0.167,0.476,100.057,273133,4,missing,missing
71,一個人 (Alone),一個人 (Alone),Jackson Wang,45,Jackson Wang,2021-01-30,7hDg1QQOiqQmQzx1nORGwi,0.654,0.395,4,-8.169,0,0.0402,0.0,0.124,0.114,75.007,185547,4,missing,missing
72,DWAY!,MIRRORS,Jackson Wang,45,Jackson Wang,2019-10-25,0IbaAAp2pL2QMCshGQlvTe,0.845,0.498,1,-5.953,1,0.0592,0.0,0.0918,0.486,98.973,145240,4,missing,missing
73,worldstar money (interlude),In Tongues (Deluxe),Joji,79,Joji,2018-02-14,0baNzeUcPQnQSagpe8T0mD,0.577,0.387,7,-8.607,1,0.274,0.705,0.208,0.459,146.565,126312,1,missing,missing
74,CAN'T GET OVER YOU (feat. Clams Casino),BALLADS 1,Joji,72,Clams Casino,2018-10-26,39oeKRgsLeynDIbWuXyA47,0.9,0.316,9,-8.797,1,0.332,0.0771,0.0853,0.844,129.914,107077,4,missing,missing
75,YUKON (INTERLUDE),SMITHEREENS,Joji,77,Joji,2022-11-04,5IPl8JpkbtSH1mdyq5ctSx,0.736,0.71,6,-8.497,0,0.091,0.0351,0.395,0.0728,82.482,141093,4,missing,missing
76,I Don't Wanna Waste My Time,In Tongues (Deluxe),Joji,67,Joji,2018-02-14,72Qo3U5apeuv91j9BEqJBM,0.403,0.234,4,-17.865,1,0.0531,0.0618,0.123,0.13,144.226,164430,4,missing,missing
77,Introvert (feat. Joji),Amen,Rich Brian,62,Joji,2018-02-02,3qbqWUDl9j09PeBaQ6CZgr,0.836,0.686,1,-4.673,1,0.0413,0.00231,0.0681,0.632,110.029,222259,4,missing,missing
78,Where Does The Time Go (feat. Joji),The Sailor,Rich Brian,57,Joji,2019-07-26,0D7EgPJwNzBTSej80OveHZ,0.642,0.553,2,-6.573,1,0.0265,9.79e-06,0.112,0.129,139.925,251289,4,missing,missing
79,"IT G MA REMIX (feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame)","IT G MA REMIX (feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame)",Keith Ape,49,Father,2015-07-27,0gpFiquPvir7e3RrM4kii9,0.787,0.743,1,-4.206,1,0.0642,0.0,0.294,0.454,102.076,300000,4,missing,missing
80,"Underwater 'Water' (feat. Yung Gleesh, Okasian & Kramp)",Ape Into Space,Keith Ape,33,Okasian,2022-11-08,3aGfy3EBdDxElUIWzUJgde,0.786,0.834,8,-4.378,0,0.12,0.0,0.186,0.686,127.996,210480,4,missing,missing
81,What?!,$MOKE UNDER THE WATER,Keith Ape,38,SosMula,2022-03-11,286jRWzUVDFEyDvCeibmtr,0.642,0.691,1,-5.89,1,0.0964,0.0,0.165,0.103,160.135,168375,4,missing,missing
82,Whiplash (feat. Peewee Longway),Ape Into Space,Keith Ape,30,Peewee Longway,2022-11-08,7HkvTv18vdKOKwCPa1DeBw,0.829,0.882,4,-3.029,1,0.265,0.0,0.21,0.661,96.026,122147,4,missing,missing
83,"IT G MA Remix (josh pan Opus) [feat. A$AP Ferg, Father, Dumbfoundead & Waka Flocka Flame with Anderson .Paak]","IT G MA Remix (josh pan Opus) [feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame with Anderson .Paak]",Keith Ape,29,Anderson .Paak,2016-02-12,55hUGKgOOB0O5fdoUCLRSZ,0.442,0.822,1,-5.836,1,0.347,3.52e-05,0.117,0.181,101.89,865498,4,missing,missing
84,My Wrist Clearer Than Water!,BORN AGAIN,Keith Ape,22,Keith Ape,2018-10-12,5VV5SthH2PkI6IeZWMXsqs,0.596,0.907,1,-6.38,1,0.354,0.042,0.116,0.784,160.163,133688,4,missing,missing
85,Psycho,Psycho (feat. Robb Bank$) - Single,Keith Ape,25,Robb Bank$,2015-10-15,1gUIRPBiLRgYHya6zaXJeb,0.543,0.812,5,-2.83,0,0.104,0.0,0.226,0.31,124.006,228387,4,missing,missing
86,Orca Walk (feat. Okasian),MOD: Ape's Basics in Time and Play,Keith Ape,18,Okasian,2021-09-20,1H0b0Z9ZPSo98wN44lvSK5,0.857,0.62,0,-6.721,0,0.478,0.0,0.107,0.556,138.093,168827,5,missing,missing
87,The Ice Ape (feat. Chief Keef),BORN AGAIN,Keith Ape,23,Chief Keef,2018-10-12,4SionRSHEHp119SzieYj5T,0.642,0.917,8,-4.695,1,0.435,0.0,0.0916,0.497,163.104,190120,4,missing,missing
88,Walk With Us (feat. Jedi P & Am Kay),Ape Into Space,Keith Ape,27,Am Kay,2022-11-08,7HtPan3iB9NTVEl4bT9auy,0.522,0.897,5,-4.573,0,0.197,0.0,0.128,0.672,139.653,232760,4,missing,missing
89,999,Project : Brainwash,Keith Ape,17,G2,2014-01-22,7arudb7mgwIHzzI8DeGWHr,0.777,0.782,11,-5.159,1,0.175,0.0,0.13,0.591,123.931,190171,4,missing,missing
90,I Don't Want Peace,MOD: Ape's Basics in Time and Play,Keith Ape,17,Keith Ape,2021-09-20,7e327mqWpz8lPIdwkc9Vzf,0.664,0.829,2,-6.171,1,0.201,0.0,0.774,0.726,128.112,116250,4,missing,missing
91,Ninja Turtle (feat. Wifisfuneral),BORN AGAIN,Keith Ape,21,Wifisfuneral,2018-10-12,1RaCwQ7Nd1gzAyxzMga76C,0.508,0.755,11,-7.606,0,0.458,0.0,0.384,0.582,106.803,192750,5,missing,missing
92,I'm JUST,MOD: Ape's Basics in Time and Play,Keith Ape,16,Keith Ape,2021-09-20,7GMYX1ZCbTIQballLsahmr,0.705,0.971,1,-5.281,1,0.427,6.56e-05,0.421,0.716,133.003,146312,4,missing,missing
93,Mind Control (feat. Paloalto),Project : Brainwash,Keith Ape,14,Paloalto,2014-01-22,6xiJJabpOjIfLdKl3ueRtP,0.653,0.704,2,-5.681,1,0.225,0.0,0.296,0.281,149.956,197251,4,missing,missing
94,Intro - Intro,Project : Brainwash,Keith Ape,12,G2,2014-01-22,6GKjlrHvpjtdjHXnP2IQZb,0.603,0.717,6,-5.818,1,0.422,0.0,0.121,0.497,84.662,129933,4,missing,missing
95,Domies (도우미),Domies (도우미) [feat. Keith Ape & Okasian] - Single,Dumbfoundead,17,Okasian,2015-10-02,3qty8OwN4CXom5Uqm5xulD,0.401,0.845,7,-5.17,1,0.394,0.0,0.512,0.431,160.585,232523,3,missing,missing
96,Space Ninja (feat. Okasian),Project : Brainwash,Keith Ape,13,Okasian,2014-01-22,4rIqxZ2M7vKmf6h2HONme3,0.867,0.604,9,-6.565,1,0.311,0.0,0.0751,0.445,127.938,217548,4,missing,missing
97,了 L,上线了 GONE GOLD,Lexie Liu,46,Lexie Liu,2021-01-28,1BArNw5s6pzhaoqrPM8ccF,0.753,0.721,0,-6.197,0,0.0375,6.29e-06,0.199,0.385,119.997,195245,4,missing,missing
98,玫瑰星云 Holy,无限意识 Meta Ego,Lexie Liu,42,Lexie Liu,2019-12-27,6vce793ItSBXOFULR3TGmV,0.752,0.703,6,-3.831,0,0.0517,0.0176,0.0985,0.493,95.022,168459,4,missing,missing
99,有吗炒面 ALGTR,上线了 GONE GOLD,Lexie Liu,45,Lexie Liu,2021-01-28,6RfGyrPQ1gQM20zfextCm5,0.545,0.89,8,-3.396,0,0.0671,0.000338,0.117,0.528,75.957,254808,4,missing,missing
100,818(浙江卫视818晚会主题曲),818(浙江卫视818晚会主题曲),Lexie Liu,37,Lexie Liu,2021-08-20,3ssIlDegMnYbItztsKZegV,0.67,0.681,7,-6.614,0,0.0469,0.000136,0.109,0.233,146.026,191641,4,missing,missing
101,地球蓝 Aqua Blue,无限意识 Meta Ego,Lexie Liu,39,Lexie Liu,2019-12-27,412cDA8S8rxvASzrReSUBh,0.57,0.646,9,-5.402,0,0.124,1.48e-06,0.118,0.279,172.01,174912,4,missing,missing
