,artist,lyrics
10,BIBI,"[비비 ""PADO"" 가사][Verse 1]너는 두 눈을 감은 채내게 기대어오며머리칼로 날 간질 때마다가벼운 입맞춤으로무거운 맘을 지우며정신 못 차리게 만들어[Pre-Chorus]날 흔들어 놔온통날 들었다 놔 그저 발만동동난 알 수 없네도통If someone hear me, call me 911[Chorus]You are my wave살려줘 mayday니 생각만 하게 돼I'm a castaway[Verse 2]나를 네 품에 가두어나의 숨을 끊을 듯놓아줄 생각이 없어 보여너를 밀어내 봐도다시 밀리어 오며생각할 틈을 주지 않네[Pre-Chorus]Soaking me slowly, slowlyDrowning me cruelly, cruellyKilling me gently, gentlyCall him if you see my S.O.S[Chorus]You are my wave살려줘 mayday니 생각만 하게 돼I'm a castaway"
11,BIBI,missing
12,BIBI,missing
13,BIBI,missing
14,BIBI,missing
15,BIBI,missing
16,BIBI,"[비비 ""마녀사냥"" 가사][Intro]I need you[Chorus]When my instinct hit me badCryin' like some pussy cat on the bedAnd when my instinct hit me sadMess around this whole town'Cause I'm fucking mad[Verse 1]눈이 돌아 화가 나 나 나거울 속에 비친 난 난 난배를 곯은 산짐승 마냥숨을 고르네, huh-huh-huh[Pre-Chorus]내가 거리로 나갈 때마다사이렌이 울려 퍼지고장총을 찬 젊은 남잔날 잡겠다며 떵 떵 떵[Chorus]When my instinct hit me badCryin' like some pussy cat on the bedAnd when my instinct hit me sadMess around this whole town'Cause I'm fucking mad"
17,CHUNG HA,missing
18,BIBI,"[비비 ""피리"" 가사][Chorus]Feed me, feed mePlease adopt mePet me, pet mePlease comfort me집 밖은 위험하니 들여보내 줘네가 나를 밀어내고니가 나를 미워해도나는 미련하니 함께 있어줘[Verse 1]내 말을 들어봐내 눈을 바라봐밖은 너무 외롭고 또밤은 차가우니 나를 들여보내 줘[Chorus]Feed me, feed mePlease adopt mePet me, pet mePlease comfort me집 밖은 위험하니 들여 보내줘네가 나를 밀어내고니가 나를 미워해도나는 미련하니 함께 있어줘[Verse 2]내가 더 예쁘지 않아서내가 애교 있지 않아서내가 너의 품에 쏙들어가지 못하고너무나도 커져 버려서아픈 말은 괜찮아거친 손길도 난 괜찮아너가 보고 싶어서돌아가고 싶어서네게 안기고만 싶어서"
19,BIBI,"[비비 ""철학보다 무서운건 비비의 총알"" 가사][Intro]I need you[Verse 1]말 대신 펜 got my weapon뒤돌아서 너는 뱉어쉿 not gonna let it happen앉은 자리 널 조져 대충말 대신 check, I got weapon받아 돈 넌 다시 째껴쉿 not gonna let it happen말 대신 칼 bitch, got a weapon[Pre-Chorus]Better than a tongue I got weaponBetter than a snitch, what just happen?Got a pretty throat will be takenYou better, you betterYou better learn when she get[Chorus]Yeah, yeah, yeahYou better, you betterYeah, yeah, yeah, yeah, yeah, yeahYou-ooh-ooh-ooh-oohYou bettеr learn when she lеt you-ooh-ooh-ooh-ooh[Verse 2]말 대신 행동 now, you shackledMy homies 애워 now, you locked up다정한 말투 또는 태도무딘 날 갈아내 got my weapon말 대신 razor now, you fucked up말 대신 비명 better shut up날 서린 말투 또는 태도 보다 무서운 건I'm that weapon[Pre-Chorus]Better than a tongue I got weaponBetter than a snitch, what just happen?Got a pretty throat will be takenYou better, you betterYou better learn when she let you-ooh-ooh-ooh-oohYou better learn when she let you-ooh-ooh-ooh-ooh"
