,Unnamed: 0,track,artist,genre,genres
186,186,SHADOW,Lexie Liu,,"Pop, Synth Rock, Electronic Rock, Electronic, Synth-Pop, China, C-Pop"
187,187,dance dance,Lexie Liu,,"Pop, Synth-Pop, Chinese, Mandopop, C-Pop, China"
188,188,Sleep Away,Lexie Liu,,"Pop, Chinese, C-Pop, China"
189,189,RRR,Lexie Liu,,"Pop, China, Mandopop, C-Pop"
190,190,Bad Dream,Lexie Liu,,"R&B, Soul Pop, Ballad, Alternative R&B, Chinese, Mandopop, C-Pop, China"
191,191,Deep Down,Lexie Liu,,"R&B, China, C-Pop"
192,192,Nada,Lexie Liu,,Pop
193,193,Like A Mercedes,Lexie Liu,,"Pop, Indie Pop, China"
194,194,Love and Run,Lexie Liu,,Pop
195,195,Hat Trick,Lexie Liu,,Pop
196,196,String Theocracy,Mili,,"Pop, Gaming, Soundtrack, Theme Song, Big Band, Jazz, Indie Pop, Japan"
197,197,Ga1ahad and Scientific Witchery,Mili,,"Pop, Japan, Indie Pop, J-Pop, Orchestral"
198,198,Summoning 101,Mili,,"Pop, Indie Pop, Japan, J-Pop"
199,199,RTRT,Mili,,"Pop, China, Japan, Indie Pop, Electronic, J-Pop"
200,200,Bathtub Mermaid,Mili,,"Pop, Japan, Indie Pop, J-Pop, Piano"
201,201,Red Dahlia,Mili,,"Pop, Japan, Indie Pop, J-Pop, Classical Crossover"
202,202,Victim,Mili,,"Pop, Japan, Indie Pop, J-Pop, Orchestral"
203,203,Vitamins,Mili,,"Pop, Japan, Indie Pop, J-Pop, Electronic"
204,204,Utopiosphere,Mili,,"Pop, Japan, Indie Pop, J-Pop, Classical Crossover, Electronic"
205,205,Camelia,Mili,,"Pop, Japan, Indie Pop, J-Pop, Tango"
206,206,Mirror Mirror,Mili,,"Pop, Japan, Indie Pop, J-Pop"
207,207,Nine Point Eight,Mili,,"Pop, Japan, Indie Rock, J-Pop"
208,208,Mushrooms,Mili,,"Pop, Japan, Indie Rock, J-Pop"
209,209,New Tooth,Rich Brian,,"Rap, Jazz Rap, Trap, Indonesia, Hip-Hop"
210,210,Sydney,Rich Brian,,Rap
211,211,DOA,Rich Brian,,"Pop, Nu Disco"
212,212,Love In My Pocket,Rich Brian,,"R&B, Nu Disco, Indonesia"
213,213,BALI,Rich Brian,,"Rap, West Coast, Indonesia"
214,214,Glow Like Dat,Rich Brian,,"Rap, Indonesia"
215,215,Drive Safe,Rich Brian,,"R&B, Rap, Indonesia"
216,216,The Sailor,Rich Brian,,"Pop, Rap, Baroque Pop"
217,217,100 Degrees,Rich Brian,,"Rap, Indonesia, Alternative Pop"
218,218,Who That Be,Rich Brian,,"Rap, Indonesia"
219,219,Kids,Rich Brian,,"Rap, Indonesia, Conscious Hip-Hop, Boom Bap, Jazz Rap"
220,220,Slow Down Turbo,Rich Brian,,"Rap, Experimental Hip-Hop, Trap"
221,221,Confetti,Rich Brian,,Rap
222,222,Curious,Rich Brian,,"Rap, Acoustic"
223,223,Vacant,Rich Brian,,"Pop, Rap, Alternative"
224,224,No Worries,Rich Brian,,"Pop, Rap, Alternative"
225,225,Cold,Rich Brian,,"Rap, Indonesia, Conscious Hip-Hop"
226,226,Gospel,Rich Brian,,"Rap, Indonesia, Florida Rap, Trap Metal, Hardcore Hip-Hop, East Coast, Korean"
227,227,Seventeen,Rich Brian,,"Rap, Indonesia"
228,228,Chaos,Rich Brian,,"Rap, Indonesia"
229,229,Trespass,Rich Brian,,Rap
230,230,See Me,Rich Brian,,"Pop, Rap, Indonesia, Alternative R&B, Trap"
231,231,Amen,Rich Brian,,"Rap, Indonesia"
232,232,Flight,Rich Brian,,Rap
233,233,Occupied,Rich Brian,,Rap
234,234,Lovers In The Night,Seori,,"Pop, EDM, Electronic, Genius Korea, K-Pop (케이팝), K-Solo, South Korea"
235,235,Running Through The Night,Seori,,Pop
236,236,Wicked,Seori,,"R&B, K-Solo, Soul, South Korea, Genius Korea, Netflix, Soundtrack, K-OST"
237,237,Trigger,Seori,,"R&B, South Korea, Korean, K-Solo, K-R&B, Genius Korea"
238,238,Hairdryer,Seori,,"R&B, Bedroom Pop, Chill"
239,239,Really High,Seori,,R&B
240,240,Fairy Tale,Seori,,"Pop, K-Solo, South Korea, Genius Korea, Electro-Pop"
241,241,I Wanna Cry,Seori,,"Pop, R&B, Indie Pop, Genius Korea"
242,242,Beautiful Night,Seori,,"R&B, Korean, K-Solo, K-R&B, K-OST, South Korea, Genius Korea, Soundtrack, Soul"
243,243,I Love You 3000,Stephanie Poetri,,"Pop, Indonesia, Soul Pop, Acoustic"
244,244,Breakfast in Bed,Stephanie Poetri,,Pop
245,245,Do You Love Me,Stephanie Poetri,,Pop
246,246,Picture Myself,Stephanie Poetri,,Pop
247,247,Selfish,Stephanie Poetri,,Pop
248,248,Honeymoon,Stephanie Poetri,,Pop
